,date,sentiment_score
0,2011-06-22,0.002044797
1,2013-11-01,-0.99991304
2,2013-11-03,-0.9223848
3,2013-11-03,-0.9223848
4,2013-11-03,-0.9223848
5,2013-11-03,-0.9223848
6,2013-11-04,-0.9995025
7,2012-02-01,-0.9882897
8,2013-11-05,-0.9999568
9,2013-11-05,0.73604965
10,2013-11-05,-0.9971765
11,2013-11-06,0.9306428
12,2013-11-06,-0.84315807
13,2013-11-06,-0.99089164
14,2013-11-07,-0.99996793
15,2013-11-07,-0.9985355
16,2013-11-07,-0.9998605
17,2013-11-07,-0.95040697
18,2013-11-07,-0.8469027
19,2013-11-07,0.93881893
20,2013-11-07,0.93881893
21,2013-11-07,-0.97403616
22,2013-11-08,-0.96480113
23,2013-11-08,-0.998311
24,2013-11-10,-0.98927206
25,2013-11-10,-0.98927206
26,2013-11-12,-0.9996746
27,2013-11-12,-0.000792667
28,2013-11-12,-0.99447453
29,2013-11-12,-0.99951625
30,2013-11-12,-0.999579
31,2013-11-12,-0.9992613
32,2013-11-13,-0.9998994
33,2013-11-13,-0.99902135
34,2012-03-22,-0.99949586
35,2013-11-13,-0.97432667
36,2013-11-13,-0.97432667
37,2013-11-14,-0.99998975
38,2013-11-15,-0.9999342
39,2013-11-15,-0.99950343
40,2013-11-15,-0.9942391
41,2013-11-16,0.02498886
42,2013-11-17,-0.9589106
43,2013-11-18,-0.9908117
44,2013-11-18,-0.93948585
45,2013-11-18,1.1297743e-05
46,2013-11-18,-8.8982816e-08
47,2013-11-18,-0.9997949
48,2013-11-18,-0.9995977
49,2013-11-18,-0.9932467
50,2013-11-18,-0.96771914
51,2013-11-19,-0.9966357
52,2013-11-19,-0.9592335
53,2013-11-19,-0.99977136
54,2013-11-19,-0.98928595
55,2013-11-19,-0.98928595
56,2013-11-19,-0.99997336
57,2013-11-19,-0.9969825
58,2013-11-19,-0.99987185
59,2013-11-19,-0.99987185
60,2013-11-20,-0.99242496
61,2013-11-20,-0.9995242
62,2013-11-20,-0.9999407
63,2013-11-20,-0.78624856
64,2013-11-20,-0.78624845
65,2013-11-20,-0.9969825
66,2013-11-20,-0.975133
67,2013-11-20,-0.9991196
68,2013-11-20,0.96972376
69,2013-11-20,0.9697239
70,2013-11-21,-0.9886653
71,2013-11-21,-0.9998925
72,2013-11-21,-0.99996316
73,2013-11-21,-0.99996316
74,2013-11-21,-0.99996316
75,2013-11-21,-0.99996316
76,2013-11-21,-0.99979645
77,2013-11-21,-0.9993195
78,2013-11-21,-0.9993195
79,2013-11-21,-0.99229336
80,2014-11-20,-0.9937417
81,2013-11-22,-0.9997462
82,2014-11-20,-0.9999667
83,2013-11-22,-0.9999292
84,2013-11-22,-0.99991417
85,2013-11-22,-0.919757
86,2014-11-20,0.83937526
87,2013-11-22,-0.58016455
88,2013-11-23,-0.99229336
89,2014-11-21,-0.9999921
90,2014-11-21,-0.9999455
91,2013-11-24,-2.672047e-05
92,2013-11-25,-0.9980336
93,2013-11-25,-0.9980336
94,2013-11-25,-0.9971765
95,2013-11-25,-0.9971765
96,2013-11-25,-0.9994354
97,2013-11-25,-0.98627913
98,2013-11-25,-0.99988836
99,2013-11-25,-0.99988836
100,2013-11-26,-0.0075192736
101,2014-11-24,-0.9989557
102,2013-11-26,-0.99169105
103,2013-11-27,-0.9971765
104,2013-11-27,-0.99968994
105,2013-11-27,-0.99968994
106,2013-11-27,-0.9998272
107,2013-11-27,-0.66625744
108,2013-11-27,-0.1770007
109,2013-11-27,-0.17700066
110,2013-11-27,-0.078989476
111,2013-11-27,-0.0789895
112,2013-11-27,-0.44561708
113,2013-11-27,-0.108083084
114,2013-11-27,-0.10808292
115,2013-11-27,-0.028463058
116,2013-11-28,-0.99995464
117,2013-11-28,-0.9630482
118,2013-11-28,-0.9630482
119,2013-11-28,-0.99999166
120,2013-11-29,-0.9999636
121,2013-11-29,-0.8734813
122,2013-11-29,-0.98765445
123,2014-11-26,-0.99961644
124,2013-11-29,-0.998385
125,2013-11-29,-0.998385
126,2014-11-26,-0.9942164
127,2013-11-29,-0.99830186
128,2013-11-29,-0.99830186
129,2013-11-29,-0.99968123
130,2013-12-01,-0.9999301
131,2013-12-01,-0.9999301
132,2013-12-01,-0.9806641
133,2013-12-02,-0.9983412
134,2013-12-02,-0.999425
135,2013-12-02,-0.999425
136,2013-12-02,-0.99995005
137,2013-12-02,-0.99995005
138,2013-12-02,-0.99989766
139,2013-12-02,0.604136
140,2013-12-02,-0.99948263
141,2013-12-03,0.99900275
142,2013-12-03,-0.95587724
143,2013-12-03,-0.9988939
144,2014-11-30,-2.4581423e-06
145,2013-12-03,-0.9995649
146,2013-12-03,-0.9999845
147,2013-12-04,-0.99986124
148,2013-12-04,0.9998397
149,2013-12-04,-0.53497094
150,2013-12-04,-0.5349709
151,2013-12-04,-9.394269e-05
152,2013-12-04,-0.4426476
153,2013-12-04,-0.99959975
154,2013-12-04,-0.9999872
155,2013-12-04,-0.9996349
156,2013-12-04,-0.9996349
157,2013-12-04,-0.9999653
158,2013-12-04,-0.99677247
159,2013-12-04,0.5805432
160,2013-12-04,0.41934004
161,2013-12-04,0.4193398
162,2013-12-04,-0.99934417
163,2013-12-04,-0.94879395
164,2013-12-04,-0.94879395
165,2013-12-05,-0.9593927
166,2013-12-05,-0.9593927
167,2013-12-05,-0.6946087
168,2013-12-05,-0.6946087
169,2013-12-05,-0.9979757
170,2013-12-05,-0.9979757
171,2013-12-05,-0.9979757
172,2013-12-05,-0.9979757
173,2013-12-05,-0.9979757
174,2013-12-05,-0.9979757
175,2014-12-02,-0.05772736
176,2013-12-05,0.99636304
177,2013-12-05,0.895974
178,2013-12-05,0.895974
179,2013-12-05,-0.99991137
180,2013-12-05,-0.9970882
181,2013-12-05,-8.747422e-06
182,2013-12-05,-8.747431e-06
183,2013-12-05,-0.99329805
184,2013-12-05,-0.99329805
185,2013-12-05,-0.99970126
186,2013-12-05,-0.99970126
187,2013-12-05,0.52948856
188,2013-12-05,-0.9985229
189,2014-12-02,-0.99932855
190,2014-12-02,-0.99932855
191,2014-12-02,-0.99932855
192,2013-12-05,-0.9626987
193,2013-12-05,-0.4453772
194,2013-12-05,-0.97718495
195,2013-12-06,-0.990257
196,2013-12-06,-0.94728076
197,2013-12-06,-0.99994123
198,2013-12-06,-8.8457796e-07
199,2013-12-06,-9.050835e-06
200,2013-12-06,-0.0055053993
201,2014-12-03,-0.9998573
202,2014-12-03,-0.9979901
203,2013-12-06,-0.99520177
204,2013-12-06,-0.9995788
205,2013-12-08,-0.9998874
206,2013-12-08,-0.9998874
207,2013-12-09,-0.9969825
208,2014-12-04,-0.99890625
209,2014-12-04,-0.9993607
210,2014-12-04,-0.9993607
211,2014-12-04,-0.9999164
212,2013-12-10,-0.9998208
213,2013-12-10,-0.99968094
214,2013-12-10,-0.99968094
215,2014-12-05,-0.9998776
216,2014-12-05,-0.9998963
217,2013-12-10,-0.41424742
218,2013-12-10,-0.41424742
219,2013-12-10,-0.95322365
220,2013-12-10,-0.95872355
221,2014-12-05,0.9997054
222,2014-12-05,-0.9998075
223,2013-12-10,-0.98967296
224,2013-12-10,-0.22205111
225,2013-12-10,-0.22205111
226,2013-12-10,-0.9715353
227,2013-12-10,-0.9715353
228,2014-12-05,-0.99959135
229,2013-12-11,-0.9998265
230,2014-12-06,-0.9992218
231,2013-12-11,-0.9074372
232,2013-12-11,-0.9969825
233,2013-12-11,-0.9991016
234,2013-12-11,-0.9991016
235,2013-12-11,-0.8271959
236,2013-12-11,-0.99631274
237,2013-12-11,-0.00019441482
238,2013-12-11,-0.00019441482
239,2013-12-11,-0.00100825
240,2014-12-08,0.000111117246
241,2013-12-11,-0.99984384
242,2013-12-11,-0.99984384
243,2013-12-11,-0.9999412
244,2013-12-11,-0.9999412
245,2013-12-11,-0.99997735
246,2013-12-11,-0.99997735
247,2014-12-08,-0.99974024
248,2014-12-08,0.5015246
249,2014-12-08,0.5015248
250,2014-12-08,-0.9999792
251,2014-12-08,0.5015248
252,2014-12-09,-0.9998792
253,2013-12-12,-0.99989533
254,2013-12-12,-0.99989533
255,2014-12-09,0.5015248
256,2013-12-13,0.99928266
257,2013-12-13,-5.753369e-06
258,2013-12-13,-0.99990577
259,2013-12-13,-0.9999131
260,2013-12-13,0.71523225
261,2013-12-13,0.71523225
262,2014-12-09,-0.8230019
263,2013-12-13,-0.9995496
264,2014-12-10,-0.993351
265,2013-12-13,-0.79558235
266,2013-12-14,-0.9998947
267,2013-12-14,-0.9998947
